input,native_sin,native_cos,portable_sin,portable_cos
0,0,1,0,0.999999881
-0,0,1,0,0.999999881
0.785398185,0.707106709,0.707106709,0.707106769,0.707104683
0,0,1,0,0.999999881
1,0.841471016,0.540302098,0.841470957,0.540293515
-1,-0.841470897,0.540302277,-0.841470957,0.540302336
1.78539824,0.977061272,-0.212958485,0.977061272,-0.212893665
3.14159274,8.74227695e-08,-1,-0.000186879013,-0.999999881
10,-0.544020832,-0.839071691,-0.544012487,-0.839071572
-10,0.54402101,-0.839071512,0.544012487,-0.839071095
10.7853985,-0.977994144,-0.20863241,-0.977994204,-0.208631784
31.4159279,0,1,1.35225309e-06,1
100,-0.50637275,0.862314701,-0.506365657,0.862318814
-100,0.506367445,0.862317801,0.506365657,0.862318516
100.7854,0.251700521,0.967805147,0.25169909,0.967805564
314.159271,0,1,5.89313277e-06,0.99999994
1000,0.826860487,0.562406957,0.826879561,0.562371671
-1000,-0.826860607,0.562406778,-0.826879561,0.562379122
1000.7854,0.982360482,-0.18699722,0.982353747,-0.18695797
3141.59277,0,1,0.000119966513,1
5000,-0.988022029,0.154312894,-0.987966418,0.154668629
-5000,0.988022029,0.154312998,0.987966418,0.154580772
5000.78516,-0.589521408,0.807752728,-0.589425981,0.807822406
15707.9639,0,1,0.000599832449,0.999999821
10000,-0.304929078,-0.952375054,-0.305575579,-0.952155232
-10000,0.304929078,-0.952375054,0.305575579,-0.952155113
10000.7852,-0.889048278,-0.457813352,-0.889266849,-0.457388282
31415.9277,0,1,0.00119966478,0.999999285
20000,0.580814004,0.81403625,0.581985414,0.813198626
-20000,-0.580814004,0.81403625,-0.581985414,0.813199222
20000.7852,0.986308098,0.164913177,0.986504853,0.163647786
62831.8555,0,1,0.0023993277,0.999997139
50000,-0.999830604,-0.0184068251,-0.9998402,-0.0178753156
-50000,0.999830604,-0.0184067078,0.9998402,-0.0177036859
50000.7852,-0.722128034,0.691759348,-0.719801545,0.694179893
157079.641,0,1,0.00795136578,0.99996841
100000,0.0368072391,-0.999322355,0.0355873927,-0.999360979
-100000,-0.0368072391,-0.999322355,-0.0355873927,-0.999360979
100000.789,-0.680600882,-0.732654333,-0.684054196,-0.729428709
314159.281,0,1,0.0159022287,0.9998734
0,0,1,0,0.999999881
500,-0.467756867,-0.883857191,-0.467757374,-0.883849204
1000,0.826860487,0.562406957,0.826879561,0.562371671
1500,-0.993896425,-0.110317573,-0.993901908,-0.110267304
2000,0.930064142,-0.367396951,0.930039406,-0.367432594
2500,-0.650264263,0.759708047,-0.65012747,0.75982517
3000,0.219288319,-0.975660086,0.219127253,-0.975682259
3500,0.262644649,0.964892626,0.262665838,0.964886844
4000,-0.683405578,-0.730038941,-0.683501422,-0.729946792
4500,0.945482492,0.325672835,0.945562959,0.325404048
5000,-0.988022029,0.154312894,-0.987966418,0.154668629
5500,0.800917089,-0.598775208,0.800862908,-0.598841071
6000,-0.427901655,0.903825283,-0.427719325,0.90391165
6500,-0.044470571,-0.999010682,-0.0446337014,-0.998996615
7000,0.506848037,0.862035453,0.506885648,0.862012863
7500,-0.850952566,-0.525242567,-0.851235688,-0.524782956
8000,0.997825384,0.0659131333,0.997843027,0.0655081198
8500,-0.912648916,0.408744246,-0.912649632,0.408742756
9000,0.615836143,-0.787874222,0.615441442,-0.788178086
9500,-0.175494283,0.984480441,-0.175274029,0.98451972
10000,-0.304929078,-0.952375054,-0.305575579,-0.952155232
10500,0.71519506,0.698924899,0.715508759,0.698601544
11000,-0.959138632,-0.282936573,-0.959188998,-0.282765508
11500,0.980182111,-0.198098421,0.980048299,-0.198689595
12000,-0.773496807,0.633800089,-0.773240864,0.634112418
12500,0.386931062,-0.922108591,0.386784166,-0.922159851
13000,0.0888535604,0.996044695,0.0894801021,0.995988548
13500,-0.544038415,-0.839060247,-0.544973969,-0.838447452
14000,0.873841822,0.486210316,0.87388432,0.486120969
14500,-0.99976939,-0.0214740653,-0.999781787,-0.0208905041
15000,0.893912792,-0.448240876,0.893428206,-0.449189246
15500,-0.579564571,0.814926267,-0.579530299,0.814950705
16000,0.131539822,-0.991310894,0.130907491,-0.991381466
16500,0.346980453,0.93787235,0.347950369,0.937512875
17000,-0.746080041,-0.665856302,-0.746076286,-0.665858746
17500,0.970772207,0.240002811,0.970890343,0.239468351
18000,-0.970402837,0.241491809,-0.970163524,0.242451549
18500,0.745057762,-0.666999936,0.744064927,-0.66810286
19000,-0.345541358,0.938403487,-0.345121473,0.938557982
19500,-0.133060336,-0.991107941,-0.133898035,-0.990981996
20000,0.580814004,0.81403625,0.581985414,0.813198626
