input,exp2,log2,nclamp_floor,convertftos
-10,0.0009765625,3.32192802,-10,-10
-9,0.001953125,3.16992497,-9,-9
-8,0.00390625,3,-8,-8
-7,0.0078125,2.80735493,-7,-7
-6,0.015625,2.58496237,-6,-6
-5,0.03125,2.32192802,-5,-5
-4,0.0625,2,-4,-4
-3,0.125,1.58496249,-3,-3
-2,0.25,1,-2,-2
-1,0.5,0,-1,-1
0,1,-99.6578369,0,0
1,2,0,1,1
2,4,1,2,2
3,8,1.58496249,3,3
4,16,2,4,4
5,32,2.32192802,5,5
6,64,2.58496237,6,6
7,128,2.80735493,7,7
8,256,3,8,8
9,512,3.16992497,9,9
10,1024,3.32192802,10,10
-5,0.03125,2.32192802,-5,-5
-4.99999905,0.0312500186,2.32192779,-5,-5
-4.99998999,0.0312502161,2.32192516,-5,-5
-4.99989986,0.0312521681,2.32189918,-5,-5
-5,0.03125,2.32192802,-5,-5
-5.00000095,0.0312499795,2.32192826,-5,-5
-5.00001001,0.0312497821,2.32193089,-5,-5
-5.00010014,0.03124783,2.32195687,-5,-5
-4,0.0625,2,-4,-4
-3.99999905,0.0625000373,1.99999964,-4,-4
-3.99998999,0.0625004321,1.9999963,-4,-4
-3.9999001,0.0625043288,1.99996388,-4,-4
-4,0.0625,2,-4,-4
-4.00000095,0.062499959,2.00000024,-4,-4
-4.00001001,0.0624995641,2.00000358,-4,-4
-4.00010014,0.06249566,2.000036,-4,-4
-3,0.125,1.58496249,-3,-3
-2.99999905,0.125000075,1.58496201,-3,-3
-2.99998999,0.125000864,1.5849576,-3,-3
-2.9999001,0.125008658,1.58491445,-3,-3
-3,0.125,1.58496249,-3,-3
-3.00000095,0.124999918,1.58496296,-3,-3
-3.00001001,0.124999128,1.58496726,-3,-3
-3.0000999,0.124991342,1.58501053,-3,-3
-1.99999988,0.25,0.99999994,-2,-2
-1.99999905,0.250000149,0.999999285,-2,-2
-1.99998999,0.250001729,0.999992788,-2,-2
-1.99989998,0.250017315,0.999927878,-2,-2
-2,0.25,1,-2,-2
-2.00000095,0.249999836,1.00000072,-2,-2
-2.00001001,0.249998257,1.00000715,-2,-2
-2.0000999,0.249982685,1.000072,-2,-2
-0.999999881,0.5,-1.71982663e-07,-1,-1
-0.999998987,0.500000358,-1.46185334e-06,-1,-1
-0.999989986,0.500003457,-1.44466158e-05,-1,-1
-0.999899983,0.50003463,-0.000144300662,-1,-1
-1.00000012,0.49999994,1.71982663e-07,-1,-1
-1.00000095,0.499999672,1.37586062e-06,-1,-1
-1.00001001,0.499996513,1.44464711e-05,-1,-1
-1.00010002,0.49996534,0.000144286241,-1,-1
1.00000001e-07,1,-23.2534962,0,0
9.99999997e-07,1.00000072,-19.9315681,0,0
9.99999975e-06,1.00000691,-16.6096401,0,0
9.99999975e-05,1.00006926,-13.2877121,0,0
-1.00000001e-07,0.99999994,-23.2534962,0,0
-9.99999997e-07,0.999999344,-19.9315681,0,0
-9.99999975e-06,0.999993086,-16.6096401,0,0
-9.99999975e-05,0.99993068,-13.2877121,0,0
1.00000012,2.00000024,1.71982663e-07,1,1
1.00000095,2.00000143,1.37586062e-06,1,1
1.00001001,2.00001383,1.44464711e-05,1,1
1.00010002,2.00013876,0.000144286241,1,1
0.999999881,1.99999988,-1.71982663e-07,1,1
0.999998987,1.99999869,-1.46185334e-06,1,1
0.999989986,1.99998617,-1.44466158e-05,1,1
0.999899983,1.99986136,-0.000144300662,1,1
2,4,1,2,2
2.00000095,4.00000286,1.00000072,2,2
2.00001001,4.00002766,1.00000715,2,2
2.0000999,4.00027704,1.000072,2,2
1.99999988,3.99999976,0.99999994,2,2
1.99999905,3.99999738,0.999999285,2,2
1.99998999,3.99997234,0.999992788,2,2
1.99989998,3.99972272,0.999927878,2,2
3,8,1.58496249,3,3
3.00000095,8.00000572,1.58496296,3,3
3.00001001,8.00005531,1.58496726,3,3
3.0000999,8.00055408,1.58501053,3,3
3,8,1.58496249,3,3
2.99999905,7.99999475,1.58496201,3,3
2.99998999,7.99994469,1.5849576,3,3
