input,sin,cos,sqrt,inversesqrt,trunc,floor,fract
-10,0.54402101,-0.839071512,3.1622777,0.316227764,-10,-10,0
-9,-0.412119061,-0.911129951,3,0.333333313,-9,-9,0
-8,-0.989358306,-0.145499736,2.82842708,0.353553385,-8,-8,0
-7,-0.656986654,0.753902137,2.64575124,0.377964467,-7,-7,0
-6,0.279415876,0.96017015,2.44948983,0.408248276,-6,-6,0
-5,0.958924294,0.28366223,2.23606801,0.44721359,-5,-5,0
-4,0.756802261,-0.653643906,2,0.5,-4,-4,0
-3,-0.14112024,-0.989992499,1.73205078,0.577350259,-3,-3,0
-2,-0.909297407,-0.416146815,1.41421354,0.707106769,-2,-2,0
-1,-0.841470897,0.540302277,1,1,-1,-1,0
0,0,1,0,1e+10,0,0,0
1,0.841471016,0.540302098,1,1,1,1,0
2,0.909297287,-0.416147023,1.41421354,0.707106769,2,2,0
3,0.14112024,-0.989992499,1.73205078,0.577350259,3,3,0
4,-0.756802559,-0.653643548,2,0.5,4,4,0
5,-0.958924294,0.283662021,2.23606801,0.44721359,5,5,0
6,-0.279415876,0.96017015,2.44948983,0.408248276,6,6,0
7,0.656986654,0.753902137,2.64575124,0.377964467,7,7,0
8,0.989358306,-0.145499617,2.82842708,0.353553385,8,8,0
9,0.412118852,-0.911130071,3,0.333333313,9,9,0
10,-0.544020832,-0.839071691,3.1622777,0.316227764,10,10,0
-5,0.958924294,0.28366223,2.23606801,0.44721359,-5,-5,0
-4.99999905,0.958924651,0.283660859,2.23606777,0.44721365,-4,-5,9.53674316e-07
-4.99998999,0.958927274,0.283652186,2.23606563,0.447214037,-4,-5,1.00135803e-05
-4.99989986,0.958952785,0.28356576,2.2360456,0.44721806,-4,-5,0.000100135803
-5,0.958924294,0.28366223,2.23606801,0.44721359,-5,-5,0
-5.00000095,0.958924115,0.283662677,2.23606825,0.447213531,-5,-6,0.999999046
-5.00001001,0.958921552,0.283671379,2.23607016,0.447213143,-5,-6,0.999989986
-5.00010014,0.958895981,0.283757806,2.23609042,0.44720912,-5,-6,0.999899864
-4,0.756802261,-0.653643906,2,0.5,-4,-4,0
-3.99999905,0.756801665,-0.653644621,1.99999976,0.50000006,-3,-4,9.53674316e-07
-3.99998999,0.756795704,-0.653651476,1.9999975,0.500000656,-3,-4,1.00135803e-05
-3.9999001,0.756737053,-0.653719366,1.99997497,0.500006258,-3,-4,9.98973846e-05
-4,0.756802261,-0.653643906,2,0.5,-4,-4,0
-4.00000095,0.756803155,-0.653642833,2.00000024,0.499999911,-4,-5,0.999999046
-4.00001001,0.756809115,-0.653635979,2.00000238,0.499999344,-4,-5,0.999989986
-4.00010014,0.756867647,-0.653568149,2.00002503,0.499993712,-4,-5,0.999899864
-3,-0.14112024,-0.989992499,1.73205078,0.577350259,-3,-3,0
-2.99999905,-0.141120955,-0.98999238,1.73205054,0.577350378,-2,-3,9.53674316e-07
-2.99998999,-0.141129911,-0.989991128,1.73204792,0.577351213,-2,-3,1.00135803e-05
-2.9999001,-0.141218901,-0.989978433,1.73202193,0.577359855,-2,-3,9.98973846e-05
-3,-0.14112024,-0.989992499,1.73205078,0.577350259,-3,-3,0
-3.00000095,-0.141119063,-0.989992619,1.73205113,0.577350199,-3,-4,0.999999046
-3.00001001,-0.141110092,-0.98999393,1.73205364,0.577349305,-3,-4,0.999989986
-3.0000999,-0.141021103,-0.990006626,1.73207963,0.577340662,-3,-4,0.999900103
-1.99999988,-0.909297526,-0.416146606,1.41421354,0.707106769,-1,-2,1.1920929e-07
-1.99999905,-0.909297824,-0.416145951,1.41421318,0.707106948,-1,-2,9.53674316e-07
-1.99998999,-0.909301519,-0.416137815,1.41420996,0.707108557,-1,-2,1.00135803e-05
-1.99989998,-0.909339011,-0.416055888,1.41417813,0.707124472,-1,-2,0.000100016594
-2,-0.909297407,-0.416146815,1.41421354,0.707106769,-2,-2,0
-2.00000095,-0.909296989,-0.416147709,1.4142139,0.70710659,-2,-3,0.999999046
-2.00001001,-0.909293234,-0.416155934,1.41421711,0.707104981,-2,-3,0.999989986
-2.0000999,-0.909255922,-0.416237444,1.41424894,0.707089126,-2,-3,0.999900103
-0.999999881,-0.841470897,0.540302277,0.99999994,1.00000012,-0,-1,1.1920929e-07
-0.999998987,-0.84147042,0.540303111,0.999999523,1.0000006,-0,-1,1.01327896e-06
-0.999989986,-0.841465533,0.54031074,0.999994993,1.00000501,-0,-1,1.00135803e-05
-0.999899983,-0.841416955,0.540386379,0.999949992,1.00005007,-0,-1,0.000100016594
-1.00000012,-0.841470897,0.540302277,1,0.999999881,-1,-2,0.999999881
-1.00000095,-0.841471314,0.540301681,1.00000048,0.999999464,-1,-2,0.999999046
-1.00001001,-0.841476321,0.540293872,1.00000501,0.999994934,-1,-2,0.999989986
-1.00010002,-0.841525018,0.540218055,1.00004995,0.999949932,-1,-2,0.999899983
1.00000001e-07,0,1,0.000316227757,3162.27759,0,0,1.00000001e-07
9.99999997e-07,1.19209278e-06,1,0.00100000005,1000,0,0,9.99999997e-07
9.99999975e-06,1.00135794e-05,1,0.00316227763,316.227783,0,0,9.99999975e-06
9.99999975e-05,9.98973774e-05,1,0.00999999978,100,0,0,9.99999975e-05
-1.00000001e-07,-2.38418565e-07,1,0.000316227757,3162.27759,-0,-1,0.999999881
-9.99999997e-07,-9.5367426e-07,1,0.00100000005,1000,-0,-1,0.999998987
-9.99999975e-06,-1.00135794e-05,1,0.00316227763,316.227783,-0,-1,0.999989986
-9.99999975e-05,-9.98973774e-05,1,0.00999999978,100,-0,-1,0.999899983
1.00000012,0.841471016,0.540302098,1,0.999999881,1,1,1.1920929e-07
1.00000095,0.841471314,0.540301681,1.00000048,0.999999464,1,1,9.53674316e-07
1.00001001,0.84147644,0.540293694,1.00000501,0.999994934,1,1,1.00135803e-05
1.00010002,0.841524899,0.540218234,1.00004995,0.999949932,1,1,0.000100016594
0.999999881,0.841470778,0.540302515,0.99999994,1.00000012,0,0,0.999999881
0.999998987,0.841470301,0.54030329,0.999999523,1.0000006,0,0,0.999998987
0.999989986,0.841465354,0.540310919,0.999994993,1.00000501,0,0,0.999989986
0.999899983,0.841416955,0.540386379,0.999949992,1.00005007,0,0,0.999899983
2,0.909297287,-0.416147023,1.41421354,0.707106769,2,2,0
2.00000095,0.909297109,-0.4161475,1.4142139,0.70710659,2,2,9.53674316e-07
2.00001001,0.909293354,-0.416155696,1.41421711,0.707104981,2,2,1.00135803e-05
2.0000999,0.909255862,-0.416237652,1.41424894,0.707089126,2,2,9.98973846e-05
1.99999988,0.909297526,-0.416146606,1.41421354,0.707106769,1,1,0.999999881
1.99999905,0.909297884,-0.416145742,1.41421318,0.707106948,1,1,0.999999046
1.99998999,0.90930146,-0.416137904,1.41420996,0.707108557,1,1,0.999989986
1.99989998,0.90933919,-0.41605553,1.41417813,0.707124472,1,1,0.999899983
3,0.14112024,-0.989992499,1.73205078,0.577350259,3,3,0
3.00000095,0.141118824,-0.989992678,1.73205113,0.577350199,3,3,9.53674316e-07
3.00001001,0.141110331,-0.98999387,1.73205364,0.577349305,3,3,1.00135803e-05
3.0000999,0.141021103,-0.990006626,1.73207963,0.577340662,3,3,9.98973846e-05
3,0.14112024,-0.989992499,1.73205078,0.577350259,3,3,0
2.99999905,0.141120702,-0.98999238,1.73205054,0.577350378,2,2,0.999999046
2.99998999,0.141129673,-0.989991128,1.73204792,0.577351213,2,2,0.999989986
2.9999001,0.141218901,-0.989978433,1.73202193,0.577359855,2,2,0.999900103
4,-0.756802559,-0.653643548,2,0.5,4,4,0
4.00000095,-0.756803036,-0.653643012,2.00000024,0.499999911,4,4,9.53674316e-07
4.00001001,-0.756808937,-0.653636158,2.00000238,0.499999344,4,4,1.00135803e-05
4.00010014,-0.756867647,-0.653568149,2.00002503,0.499993712,4,4,0.000100135803
